Year Released,Album Length,Album Name,Artist
2017,1875323,Tobe From The Swat,Tobe Nwigwe
2020,6101809,Shoot For The Stars Aim For The Moon (Deluxe),Pop Smoke
2020,3401218,Shoot For The Stars Aim For The Moon,Pop Smoke
2020,2706369,Meet The Woo 2 (Deluxe),Pop Smoke
2020,2090476,Meet The Woo 2,Pop Smoke
2019,2053037,Meet The Woo (Deluxe Version),Pop Smoke
2019,1656824,Meet The Woo,Pop Smoke
2020,2995371,Dark Lane Demo Tapes,Drake
2019,4425273,Care Package,Drake
2019,4437727,So Far Gone,Drake
2018,5426391,Scorpion,Drake
2017,4899126,More Life,Drake
2016,4875485,Views,Drake
2015,4129729,If You're Reading This It's Too Late,Drake
2013,4076943,Nothing Was The Same (Deluxe),Drake
2013,3568770,Nothing Was The Same,Drake
2011,5005808,Take Care (Deluxe),Drake
2010,3927422,Thank Me Later (Int'l Version),Drake
2010,3668663,Thank Me Later,Drake
2009,4437710,So Far Gone,Drake
2019,3274738,Father Of Asahd,DJ Khaled
2017,5254514,Grateful,DJ Khaled
2016,3482354,Major Key,DJ Khaled
2015,3766902,I Changed A Lot (Deluxe),DJ Khaled
2013,3214156,Suffering From Success,DJ Khaled
2013,3622822,Suffering From Success (Deluxe Version),DJ Khaled
2012,3579329,Kiss The Ring (Deluxe),DJ Khaled
2012,2912023,Kiss The Ring,DJ Khaled
2011,3227863,We The Best Forever,DJ Khaled
2010,2786314,Victory,DJ Khaled
2008,3137328,We Global,DJ Khaled
2019,965769,Hood Life Krisis Vol. 1,J.I the Prince of N.Y
2020,4359992,WUNNA (Deluxe),Gunna
2020,3005795,WUNNA,Gunna
2019,2895402,Drip or Drown 2,Gunna
2018,2332540,Drip Harder,Lil Baby
2018,3124075,Drip Season 3 (Deluxe),Gunna
2018,2542516,Drip Season 3,Gunna
2017,1210976,Drip or Drown,Gunna
2017,1210933,Drip or Down,Gunna
2017,3042558,Drip Season 2,Gunna
2016,2120403,Drip Season,Gunna
2019,1670863,Floor Seats,A$AP Ferg
2017,2910849,Still Striving,A$AP Ferg
2016,3072835,ALWAYS STRIVE AND PROSPER,A$AP Ferg
2013,3075155,Trap Lord,A$AP Ferg
2020,3593788,BLAME IT ON BABY (DELUXE),DaBaby
2020,2020418,BLAME IT ON BABY,DaBaby
2019,2115941,KIRK,DaBaby
2019,1901916,Baby On Baby,DaBaby
2018,1440917,Blank Blank,DaBaby
2018,1508024,Baby Talk 5,DaBaby
2017,1502856,Back On My Baby Jesus Sh!t,DaBaby
2017,1996703,Billion Dollar Baby,DaBaby
2016,1941969,God's Work Resurrected,DaBaby
2020,2644402,Limbo,Aminé
2018,2091327,ONEPOINTFIVE,Aminé
2017,3149622,Good For You,Aminé
2020,999714,Sweet Action,Jack Harlow
2019,2063644,Confetti,Jack Harlow
2018,2440956,Loose,Jack Harlow
2017,2071826,Gazebo,Jack Harlow
2016,1537829,18,Jack Harlow
2020,3458765,Trapped On Cleveland 3,Lil Keed
2019,3828111,Long Live Mexico,Lil Keed
2018,3035995,Keed Talk To 'Em,Lil Keed
2018,3040833,Trapped On Cleveland 2,Lil Keed
2020,2967168,Epidemic (Deluxe),Money Man
2020,1900677,State of Emergency,Money Man
2020,1143129,Epidemic,Money Man
2019,2998978,Long Money,Peewee Longway
2019,3751535,Paranoia,Money Man
2018,1237296,TraumaMan,Money Man
2018,1376726,No Promo,Money Man
2018,1847468,6 Hours 2,Money Man
2018,1378535,6 Hours,Money Man
2018,1896674,Grow God,Money Man
2017,1086215,24 Hours,Money Man
2017,2315931,Secret Society,Money Man
2016,2241091,Black Circle Friday,Money Man
2016,2787912,Black Circle 2,Money Man
2016,2580826,Black Circle,Money Man
2019,2856403,The Blue M&M 4,Peewee Longway
2018,2711990,State of the Art,Peewee Longway
2018,1526482,Spaghetti Factory,Peewee Longway
2017,2782336,The Blue M&M 3,Peewee Longway
2017,1607054,Trap Sinatra,Peewee Longway
2016,2046157,Longway Sinatra,Peewee Longway
2016,4371965,Mr. Blue Benjamin,Peewee Longway
2015,2456018,BagMen,Peewee Longway
2015,3194648,Felix Brothers,Gucci Mane
2015,2416248,The White Album,Gucci Mane
2015,3708519,The Blue M&M 2 (King Size),Peewee Longway
2014,3461060,Money Power Ammunition,Gucci Mane
2014,3343260,Trappin out da Lobby,Peewee Longway
2020,2830134,THE GOAT,Polo G
2019,2473209,Die A Legend,Polo G
2020,3466827,Circles (Deluxe),Mac Miller
2020,2924857,Circles,Mac Miller
2018,3519064,Swimming,Mac Miller
2016,3157245,The Divine Feminine,Mac Miller
2016,3084847,Best Day Ever (5th Anniversary Remastered Edition),Mac Miller
2015,4233940,GO:OD AM,Mac Miller
2013,3707275,Live From Space,Mac Miller
2013,4299029,Watching Movies with the Sound Off (Deluxe Edition),Mac Miller
2013,3729778,Watching Movies with the Sound Off,Mac Miller
2012,3885377,Macadelic (Remastered Edition),Mac Miller
2011,3196976,Blue Slide Park (Commentary Version),Mac Miller
2011,2772044,Blue Slide Park,Mac Miller
2011,2771918,Blue Slide Park (Edited Version),Mac Miller
2010,3240802,K.I.D.S. (Deluxe),Mac Miller
2010,2828027,K.I.D.S.,Mac Miller
2017,1423422,Yes Lawd! Remixes,NxWorries
2016,2938939,Yes Lawd!,NxWorries
2019,1582987,DROPPED OUTTA COLLEGE,24kGoldn
2019,2503965,Family Over Everything,Only The Family
2018,2274508,"Lil Durk Presents: Only the Family Involved, Vol. 2",Only The Family
2018,2445690,"Lil Durk Presents: Only The Family Involved, Vol. 1",Only The Family
2020,2720568,The Smartest,Tee Grizzley
2019,2404371,Scriptures,Tee Grizzley
2018,2432176,Still My Moment,Tee Grizzley
2018,3661277,Activated,Tee Grizzley
2017,2422029,Bloodas,Tee Grizzley
2017,2581450,My Moment,Tee Grizzley
2019,1273879,ICY,Saweetie
2018,1328121,High Maintenance,Saweetie
2020,6325469,Revenge Of The Dreamers III: Director's Cut,Dreamville
2019,3873926,Revenge Of The Dreamers III,Dreamville
2018,2553943,KOD,J. Cole
2016,2671811,4 Your Eyez Only,J. Cole
2016,4038796,"Forest Hills Drive: Live from Fayetteville, NC",J. Cole
2014,3884836,2014 Forest Hills Drive,J. Cole
2013,4707446,Born Sinner (Explicit Deluxe),J. Cole
2013,3575328,Born Sinner,J. Cole
2011,3468529,Cole World: The Sideline Story,J. Cole
2020,1189892,Fallin',StaySolidRocky
2020,1337501,GANG,Headie One
2019,2750689,Music x Road,Headie One
2019,2522163,Drillers x Trappers II,Rv
2018,3224383,The One Two,Headie One
2018,3151852,The One,Headie One
2017,3938708,Drillers X Trappers,Rv
2019,2803159,Melly vs. Melvin,YNW Melly
2019,3348473,We All Shine,YNW Melly
2018,3350102,I AM YOU,YNW Melly
2019,2636489,Ghetto Lenny's Love Songs,SAINt JHN
2018,2685803,Collection One,SAINt JHN
2018,6319311,Culture II,Migos
2017,3505023,Culture,Migos
2016,3823222,YRN 2 (Young Rich Niggas 2),Migos
2015,2421357,Rich Shooters,Migos
2015,3100390,Currency,Migos
2015,3395622,Yung Rich Nation,Migos
2015,1977103,The Green Album,Gucci Mane
2014,4796821,Rich Ni**a Timeline,Migos
2014,4584330,No Label II,Migos
2013,4653527,No Label,Migos
2013,4095940,Juug Season,Migos
2013,4381927,Young Rich N*ggas,Migos
2011,4338626,Juug Season,Migos
2019,2389530,Hot Pink,Doja Cat
2019,3412288,Amala (Deluxe Version),Doja Cat
2018,2717262,Amala,Doja Cat
2019,1729385,Heart Full of Rage,Tyla Yaweh
2020,3096353,Certified Hitmaker (AVA Leak),Lil Mosey
2020,2283208,Certified Hitmaker,Lil Mosey
2019,2120662,Certified Hitmaker,Lil Mosey
2018,1846925,Northsbest (Extended),Lil Mosey
2020,3697669,Time Served (Deluxe),Moneybagg Yo
2020,2474093,Time Served,Moneybagg Yo
2019,2427210,43VA HEARTLESS,Moneybagg Yo
2018,2624597,RESET,Moneybagg Yo
2018,1420150,Bet On Me,Moneybagg Yo
2018,3052921,2 Heartless,Moneybagg Yo
2018,2992228,Money Bags From The Trap,Moneybagg Yo
2017,2585748,Fed Baby’s,Moneybagg Yo
2017,2660954,Federal 3X,Moneybagg Yo
2017,2153174,Heartless,Moneybagg Yo
2016,3674073,2 Federal,Moneybagg Yo
2016,1664674,All Gas No Brakes,Moneybagg Yo
2016,3718731,ELO: Everybody Lives On,Moneybagg Yo
2016,4417798,Federal Reloaded,Moneybagg Yo
2019,1569921,6locc 6a6y,Lil Loaded
2020,3595578,No Pressure,Logic
2019,3305727,Confessions of a Dangerous Mind,Logic
2019,2948180,Supermarket (Soundtrack),Logic
2018,4568663,YSIV,Logic
2018,2605516,Bobby Tarantino II,Logic
2017,4260341,Everybody,Logic
2016,1944131,Bobby Tarantino,Logic
2015,3696608,The Incredible True Story,Logic
2014,4059783,Under Pressure (Deluxe),Logic
2014,3387917,Under Pressure,Logic
2020,1761433,Everyone's Watching,YSN G
2020,2452918,"No More Losses, Vol. 1",YSN G
2019,1855185,For No Man,YSN G
2019,1117045,Don't Sleep,YSN G
2020,2692033,Rich Slave,Young Dolph
2019,3629952,Dum and Dummer,Young Dolph
2018,2683754,Role Model,Young Dolph
2017,2031251,Thinking Out Loud,Young Dolph
2017,2013269,Tracking Numbers,Berner
2017,1886957,Bulletproof,Young Dolph
2017,2267307,Gelato,Young Dolph
2016,2638544,Rich Crack Baby,Young Dolph
2016,3194847,Bosses & Shooters,Young Dolph
2016,2083473,King of Memphis,Young Dolph
2015,2931375,East Atlanta Memphis,Gucci Mane
2015,2494935,16,Young Dolph
2015,2019941,Shittin On The Industry,Young Dolph
2015,2454640,16 Zips,Young Dolph
2015,2786082,High Class Street Music 5: The Plug Best Friend,Young Dolph
2014,3145267,High Class Street Music 4: American Gangster,Young Dolph
2014,2185477,Cross Country Trappin,Young Dolph
2013,3273240,South Memphis Kingpin,Young Dolph
2013,3398011,High Class Street Music 3: Trappin' out a Mansion,Young Dolph
2012,4317951,Blue Magic,Young Dolph
2012,4766130,A Time 2 Kill,Young Dolph
2011,3721353,High Class Street Music 2: Hustler's Paradise,Young Dolph
2011,4445483,High Class Street Music,Young Dolph
2010,3766446,Welcome 2 Dolph World,Young Dolph
2020,2636358,The Warning,R-Mean
2020,3396520,Los Meros,Berner
2019,4625262,La Plaza,Berner
2019,2225463,Pheno Grigio,Berner
2019,3287051,El Chivo,Berner
2019,2080381,Slimey Individualz,Berner
2018,2234379,11/11,Berner
2018,5775519,RICO,Berner
2018,1097747,Terra Firma,Omni Alien
2018,3995580,Dirty Money 2 (Chopped Not Slopped),OG Ron C
2018,3339002,The Big Pescado,Berner
2017,3298650,Vibes,Berner
2017,3481455,Sleepwalking,Berner
2016,3901303,Packs,Berner
2016,2956994,"Prohibition, Pt. 3",Berner
2016,3133771,Guilty By Association 2: Criminal Enterprise,Berner
2016,4495999,Hempire,Berner
2016,3137155,Cookies & Cream,"Berner, San Quinn"
2015,3109999,Drought Season 3,Berner
2015,1941999,Prohibition Part 2,Berner
2015,1802000,20 Lights,Berner
2014,1790125,Prohibition,Berner
2013,5417837,Drugstore Cowboy - Deluxe Edition,Berner
2013,4351902,Drugstore Cowboy,Berner
2013,4674736,Urban Farmer,Berner
2012,3750448,Border Wars,Berner
2012,4217367,The White Album,Berner
2011,4436555,The White Album,Berner
2010,4349839,Blow - Blocks and Boat Docks,Berner
2009,3784666,Blow,Berner
2009,3736888,Drought Season 2,The Jacka
2009,4658784,Weekend At Bernie's,Berner
2009,3968100,Duffle Bag Money,Berner
2007,4249982,Track Money And Pack Money,Berner
2020,2102394,Alfredo,Freddie Gibbs
2020,2715021,Bandana Beats,Freddie Gibbs
2019,2784235,Bandana,Freddie Gibbs
2018,1412368,Fetti,Curren$y
2018,1500017,Freddie,Freddie Gibbs
2017,1911494,You Only Live 2wice,Freddie Gibbs
2015,3953646,Shadow of a Doubt,Freddie Gibbs
2015,2407111,Piñata (Alex Goose Remix),Freddie Gibbs
2015,2388248,Piñata (Alex Goose Instrumental Remix),Freddie Gibbs
2014,3118153,Piñata Beats,Madlib
2014,1727992,The Tonite Show with Freddie Gibbs & The Worlds Freshest,Freddie Gibbs
2014,3620554,Piñata,Freddie Gibbs
2013,4275656,ESGN - Evil Seeds Grow Naturally,Freddie Gibbs
2012,3686301,Cold Day In Hell,Freddie Gibbs
2012,1134875,"Lord Giveth, Lord Taketh Away",Freddie Gibbs
2012,4393632,Baby Face Killa,Freddie Gibbs
2010,2125159,Str8 Killa,Freddie Gibbs
2009,4511209,Midwestgangstaboxframecadillacmuzik,Freddie Gibbs
2020,1487261,The OutRunners,Curren$y
2020,1763217,Spring Clean,Curren$y
2020,3452681,The Tonite Show With Curren$y (Deluxe Edition),DJ.Fresh
2020,1605037,Smokin' Potnas,Curren$y
2020,1792573,The Tonite Show With Curren$y,DJ.Fresh
2019,2021702,Back at Burnie’s,Curren$y
2019,1499304,Prestige Worldwide,Smoke DZA
2019,1360037,Hot August Nights Forever,Curren$y
2019,2638392,Plan of Attack,Curren$y
2019,1082255,Hot August Nights,Curren$y
2019,1663761,Gran Turismo,Curren$y
2019,1664694,Gran Turismo (Instrumental Version),Curren$y
2019,1415375,Umbrella Symphony,Curren$y
2019,2423925,2009,Wiz Khalifa
2018,2041620,Fire In The Clouds,Curren$y
2018,1411335,The Marina,Curren$y
2018,1691346,Parking Lot Music,Curren$y
2018,1999191,The Spring Collection,Curren$y
2017,8279866,Pilot Talk: Trilogy,Curren$y
2016,2522843,Andretti 12/30,Curren$y
2016,2450155,Andretti 11/30,Curren$y
2016,2140520,Andretti 10/30,Curren$y
2016,1658039,Andretti 9/30,Curren$y
2016,1191993,Stoned On Ocean,Curren$y
2016,1519121,The Legend of Harvard Blue,Curren$y
2015,2527497,Bales,Curren$y
2015,2940590,Canal Street Confidential (Deluxe),Curren$y
2012,3310729,Jet World Order 2,Curren$y
2012,3258064,The Stoned Immaculate,Curren$y
2012,4192569,The Stoned Immaculate (Deluxe Version),Curren$y
2011,2793283,Jet World Order,Curren$y
2011,2637580,Weekend At Burnie's,Curren$y
2011,2637836,Weekend At Burnie's (Deluxe Version),Curren$y
2010,3151782,Community Service 3,Curren$y
2019,2584313,Shelby,Lil Skies
2017,2460862,Life of a Dark Rose,Lil Skies
2020,1341604,State of Emergency,Lil Tjay
2019,3356636,True 2 Myself,Lil Tjay
2019,5611588,k bye for now (swt live),Ariana Grande
2019,2470209,"thank u, next",Ariana Grande
2018,2851861,Sweetener,Ariana Grande
2018,2470209,"thank u, next",Ariana Grande
2016,3342222,Dangerous Woman,Ariana Grande
2014,3058409,My Everything (Deluxe),Ariana Grande
2013,2786049,Yours Truly,Ariana Grande
1996,4168156,House Of Music,Tony! Toni! Toné!
1993,4165268,Sons Of Soul,Tony! Toni! Toné!
1990,3984234,The Revival,Tony! Toni! Toné!
1988,2708930,Tony Toni Tone - Who?,Tony! Toni! Toné!
2020,3863523,Load It Up Vol. 01,03 Greedo
2019,2089397,Netflix & Deal,03 Greedo
2019,2264853,Still Summer In The Projects,03 Greedo
2018,5886281,God Level,03 Greedo
2018,3872974,The Wolf of Grape Street,03 Greedo
2017,2412254,First Night Out,03 Greedo
2017,5802750,Money Changes Everything,03 Greedo
2017,5231933,Purple Summer 03,03 Greedo
2016,7063120,Purple Summer 2: Son Don't Shine,03 Greedo
2016,7192598,Purple Summer,03 Greedo
2018,1945035,STOKELEY,Ski Mask The Slump God
2018,1305837,BEWARE THE BOOK OF ELI,Ski Mask The Slump God
2018,2038527,You Will Regret (Reloaded),Ski Mask The Slump God
2020,1800944,"Ho, why is you here ?",Flo Milli
2020,1679422,Sleepy Hallow Presents: Sleepy For President,Sleepy Hallow
2019,1988489,DON'T SLEEP,Sleepy Hallow
2020,1884138,Queen of Da Souf,Mulatto
2018,1991832,Mulatto,Mulatto
2017,3289421,Latto Let 'Em Know,Mulatto
2016,1831489,Miss Mulatto,Mulatto
2018,1432307,KIDS SEE GHOSTS,KIDS SEE GHOSTS
2016,5219221,"Passion, Pain & Demon Slayin'",Kid Cudi
2015,5494017,Speedin' Bullet 2 Heaven,Kid Cudi
2014,2473784,KiD CuDi presents SATELLITE FLIGHT: The journey to Mother Moon,Kid Cudi
2013,4252915,Indicud,Kid Cudi
2010,3723981,Man On The Moon II: The Legend Of Mr. Rager,Kid Cudi
2009,3515955,Man On The Moon: The End Of Day,Kid Cudi
2009,4088741,Man On The Moon: The End Of Day (Deluxe),Kid Cudi
